screen_accession	screen_row_id	MORF_id	reason	detail	source_transcript_ids	log2FoldChange
IGVFFI6734IWRB	ZNF292_1	ZNF292_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_015021,ENST00000369577
IGVFFI6734IWRB	ZNF335_1	ZNF335_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_022095,ENST00000322927
IGVFFI6734IWRB	ZNF407_2	ZNF407_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	XM_011526070,NM_001146190,ENST00000582337,ENST00000309902
IGVFFI6734IWRB	ZNF407_3	ZNF407_3	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	XM_005266726,XM_011526068,NM_017757,ENST00000299687
IGVFFI6734IWRB	ZNF441_1	ZNF441_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_152355,ENST00000357901
IGVFFI6734IWRB	ZNF462_1	ZNF462_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_021224,XM_006717216,ENST00000277225
IGVFFI6734IWRB	ZNF483_3	ZNF483_3	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	XM_017014339.1	0.108923081541184
IGVFFI6734IWRB	ZNF518A_1	ZNF518A_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	XM_017016994,XM_011540413,NM_001278524,NM_014803,XM_011540415,XM_011540412,XM_011540419,XM_017016993,XM_011540406,XM_011540410,XM_011540418,XM_011540420,XM_017016989,XM_011540408,NM_001278525,XM_017016992,XM_017016991,XM_017016986,XM_017016995,XM_017016990,XM_017016987,XM_017016996,XM_017016988,XM_017016997,XM_017016999,XM_017016998,ENST00000316045,ENST00000624776,ENST00000614149
IGVFFI6734IWRB	ZNF570_2	ZNF570_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_144694,NM_001321991,XM_011526544,ENST00000330173
IGVFFI6734IWRB	ZNF611_1	ZNF611_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_030972,NM_001161499,NM_001161500,ENST00000540744,ENST00000543227,ENST00000319783
IGVFFI6734IWRB	ZNF615_3	ZNF615_3	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	XM_017026649,XM_017026648,NM_198480,NM_001321320,ENST00000602063,ENST00000376716
IGVFFI6734IWRB	ZNF646_1	ZNF646_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	XM_011545990,XM_005255711,XM_005255710,NM_014699,ENST00000300850
IGVFFI6734IWRB	ZNF654_1	ZNF654_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	XM_017006790,ENST00000636215
IGVFFI6734IWRB	ZNF721_1	ZNF721_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_133474,ENST00000511833
IGVFFI6734IWRB	ZNF761_1	ZNF761_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001289951,NM_001008401,NM_001289952,ENST00000432094,ENST00000454407
IGVFFI6734IWRB	ZNF781_1	ZNF781_1	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	NM_152605.3	-0.211067939871203
IGVFFI6734IWRB	ZNF836_1	ZNF836_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	XM_011526558,XM_011526559,NM_001102657,ENST00000597252
IGVFFI6734IWRB	ZNF845_1	ZNF845_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_138374,NM_001321523,NM_001321524,NM_001321522,ENST00000458035,ENST00000595091
IGVFFI6734IWRB	ZNF846_2	ZNF846_2	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	XM_017026405.1	-0.0172334132453828
IGVFFI6734IWRB	ZNF850_1	ZNF850_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001193552,ENST00000591344
IGVFFI6734IWRB	ZSCAN12_2	ZSCAN12_2	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	XM_011515017	-0.333090687771911
IGVFFI6032GREJ	ARID1B_1	ARID1B_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	XM_005267069,ENST00000636930
IGVFFI6032GREJ	ARID1B_3	ARID1B_3	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_020732,ENST00000346085
IGVFFI6032GREJ	ARID2_1	ARID2_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_152641,ENST00000334344
IGVFFI6032GREJ	ASH1L_1	ASH1L_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_018489,XM_006711451,XM_006711450,XM_017001784,XM_017001785,ENST00000392403
IGVFFI6032GREJ	ATF6_1	ATF6_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_007348,ENST00000367942
IGVFFI6032GREJ	BAZ2A_2	BAZ2A_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001300905,ENST00000549884
IGVFFI6032GREJ	BAZ2B_1	BAZ2B_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001289975,ENST00000392782
IGVFFI6032GREJ	BAZ2B_2	BAZ2B_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_013450,ENST00000392783
IGVFFI6032GREJ	BPTF_1	BPTF_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_182641,ENST00000306378
IGVFFI6032GREJ	CHD3_3	CHD3_3	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001005271,ENST00000380358
IGVFFI6032GREJ	CHD6_1	CHD6_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_032221,ENST00000373233
IGVFFI6032GREJ	CHD7_2	CHD7_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_017780,ENST00000423902
IGVFFI6032GREJ	CREBBP_1	CREBBP_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_004380,ENST00000262367
IGVFFI6032GREJ	EP300_1	EP300_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001429,ENST00000263253
IGVFFI6032GREJ	ESRRG_4	ESRRG_4	no_transcript	No supplied ENST and no GENCODE v43 RefSeq RNA cross-reference yielding a Catalog transcript.	XM_011509277.1	-0.67945356831685
IGVFFI6032GREJ	FANCD2_1	FANCD2_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_033084,ENST00000287647
IGVFFI6032GREJ	FLI1_4	FLI1_4	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_002017,ENST00000527786
IGVFFI6032GREJ	GFP_1	GFP_1	control_construct	GFP/mCherry control; intentionally not adapted.
IGVFFI6032GREJ	GON4L_2	GON4L_2	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001282858,XM_006711393,XM_006711394,ENST00000437809,ENST00000271883
IGVFFI6032GREJ	GON4L_3	GON4L_3	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_001282860,NM_001282856,ENST00000368331,ENST00000615926
IGVFFI6032GREJ	HELZ2_1	HELZ2_1	missing_log2FoldChange	DESeq2 log2FoldChange is missing; adapter requires a numeric effect size.	NM_033405,ENST00000427522
